Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
MTCN,ArcelorMittal 5.50% Mandatorily Convertible Subordinated Notes due 2023,$70.68,2.14,3.122%,0.00,Luxembourg,2020,6528,Basic Industries,Steel/Iron Ore
MTL,Mechel PAO American Depositary Shares (Each rep. 1 common shares),$4.41,0.30,7.299%,1198490353.00,Russia,2004,337010,Basic Industries,Steel/Iron Ore
MTX,Minerals Technologies Inc. Common Stock,$71.53,0.21,0.294%,2402919092.00,United States,1992,37545,Basic Industries,Major Chemicals
MTZ,MasTec Inc. Common Stock,$86.17,-1.81,-2.057%,6403713813.00,United States,,320583,Basic Industries,Water Supply
MUX,McEwen Mining Inc. Common Stock,$1.07,-0.02,-1.835%,491330508.00,Canada,,1111712,Basic Industries,Precious Metals
MYRG,MYR Group Inc. Common Stock,$103.17,-1.31,-1.254%,1740216880.00,United States,,26002,Basic Industries,Water Supply
NAKD,Naked Brand Group Limited Ordinary Shares,$0.6698,0.0233,3.604%,607219881.00,New Zealand,,27492834,Basic Industries,Industrial Specialties
NEM,Newmont Corporation,$54.3899,0.0799,0.147%,43464389917.00,United States,,3149700,Basic Industries,Precious Metals
NEU,NewMarket Corp Common Stock,$354.80,0.01,0.003%,3877300169.00,United States,,31491,Basic Industries,Major Chemicals
NEXA,Nexa Resources S.A. Common Shares,$9.43,-0.40,-4.069%,1248896102.00,,2017,233900,Basic Industries,Precious Metals
NGVT,Ingevity Corporation Common Stock ,$75.14,-0.24,-0.318%,2969569318.00,,2016,64744,Basic Industries,Industrial Specialties
NP,Neenah Inc. Common Stock,$49.03,0.54,1.114%,826773131.00,United States,,14197,Basic Industries,Paper
NTIC,Northern Technologies International Corporation Common Stock,$17.035,0.485,2.931%,155186482.00,United States,,5940,Basic Industries,Major Chemicals
NUE,Nucor Corporation Common Stock,$99.3301,1.3601,1.388%,29172707432.00,United States,,1491050,Basic Industries,Steel/Iron Ore
NWPX,Northwest Pipe Company Common Stock,$23.85,-2.32,-8.865%,235413023.00,United States,1995,117014,Basic Industries,Steel/Iron Ore
NX,Quanex Building Products Corporation Common Stock,$21.215,-0.075,-0.352%,711164732.00,United States,,50011,Basic Industries,Metal Fabrications
OCC,Optical Cable Corporation Common Stock,$3.7999,0.0499,1.331%,28750693.00,United States,,1743,Basic Industries,Telecommunications Equipment
ODC,Oil-Dri Corporation Of America Common Stock,$35.00,0.07,0.20%,259326375.00,United States,,7876,Basic Industries,Industrial Specialties
OEC,Orion Engineered Carbons S.A Common Shares,$18.62,-0.05,-0.268%,1126270119.00,Luxembourg,2014,39231,Basic Industries,Specialty Chemicals
OLN,Olin Corporation Common Stock,$49.99,0.66,1.338%,8021497630.00,United States,,704538,Basic Industries,Industrial Specialties
ONEW,OneWater Marine Inc. Class A Common Stock,$41.93,-0.31,-0.734%,630586276.00,United States,2020,25440,Basic Industries,Homebuilding
ORGN,Origin Materials Inc. Common Stock,$6.38,0.13,2.08%,901165239.00,United States,2020,452788,Basic Industries,Industrial Specialties
PACK,Ranpak Holdings Corp Class A Common Stock,$28.94,0.27,0.942%,2355567683.00,,2018,79525,Basic Industries,Containers/Packaging
PKG,Packaging Corporation of America Common Stock,$139.12,-0.01,-0.007%,13215313473.00,United States,2000,310315,Basic Industries,Paper
PKX,POSCO Common Stock,$67.59,0.22,0.327%,20446129646.00,South Korea,1994,76545,Basic Industries,Steel/Iron Ore
PLL,Piedmont Lithium Inc. Common Stock,$57.29,3.22,5.955%,909157640.00,United States,,287192,Basic Industries,Precious Metals
PLPC,Preformed Line Products Company Common Stock,$65.6304,-0.9696,-1.456%,322019430.00,United States,,1884,Basic Industries,Telecommunications Equipment
PPG,PPG Industries Inc. Common Stock,$152.14,1.40,0.929%,36071051973.00,United States,,613484,Basic Industries,Paints/Coatings
PRIM,Primoris Services Corporation Common Stock,$26.305,0.235,0.901%,1413399374.00,United States,,170744,Basic Industries,Water Supply
PZG,Paramount Gold Nevada Corp. Common Stock,$0.8257,0.0006,0.073%,33451365.00,United States,2015,11778,Basic Industries,Precious Metals
REGI,Renewable Energy Group Inc. Common Stock,$54.89,1.24,2.311%,2757402883.00,United States,2012,706139,Basic Industries,Major Chemicals
REX,REX American Resources Corporation,$83.33,-0.22,-0.263%,497558264.00,United States,,2522,Basic Industries,Automotive Aftermarket
RFP,Resolute Forest Products Inc. Common Stock,$14.10,1.14,8.796%,1115184750.00,Canada,,838527,Basic Industries,Paper
RIO,Rio Tinto Plc Common Stock,$69.86,1.39,2.03%,113110317826.00,Australia,2002,2359316,Basic Industries,Steel/Iron Ore
RKDA,Arcadia Biosciences Inc. Common Stock,$2.041,-0.019,-0.922%,45256420.00,United States,2015,47019,Basic Industries,Agricultural Chemicals
RPM,RPM International Inc. Common Stock,$79.98,0.96,1.215%,10374662166.00,United States,,364192,Basic Industries,Paints/Coatings
RS,Reliance Steel & Aluminum Co. Common Stock (DE),$144.09,2.44,1.723%,9147293712.00,United States,1994,165381,Basic Industries,Steel/Iron Ore
RYAM,Rayonier Advanced Materials Inc. Common Stock,$8.065,0.405,5.287%,514041752.00,United States,2014,213054,Basic Industries,Industrial Specialties
SBSW,D/B/A Sibanye-Stillwater Limited ADS,$14.285,-0.075,-0.522%,10285335265.00,,,2699629,Basic Industries,Precious Metals
SCCO,Southern Copper Corporation Common Stock,$58.94,0.34,0.58%,45565409995.00,United States,,864207,Basic Industries,Precious Metals
SCHN,Schnitzer Steel Industries Inc. Class A Common Stock,$49.365,0.945,1.952%,1358702020.00,United States,1993,147502,Basic Industries,Steel/Iron Ore
SEE,Sealed Air Corporation Common Stock,$57.39,0.19,0.332%,8602349227.00,United States,,508361,Basic Industries,Containers/Packaging
SGBX,SG Blocks Inc. Common Stock,$3.135,-0.115,-3.538%,27658503.00,United States,2017,32564,Basic Industries,Metal Fabrications
SHI,SINOPEC Shangai Petrochemical Company Ltd. Common Stock,$24.5025,-0.7375,-2.922%,2652104903.00,China,,14664,Basic Industries,Major Chemicals
SHW,Sherwin-Williams Company (The) Common Stock,$289.7159,-0.2741,-0.095%,76282906564.00,United States,,469280,Basic Industries,Paints/Coatings
SID,Companhia Siderurgica Nacional S.A. Common Stock,$5.11,-0.05,-0.969%,7052385335.00,Brazil,,2493750,Basic Industries,Steel/Iron Ore
SIM,Grupo Simec S.A.B. de C.V. American Depositary Shares,$23.95,0.00,0.00%,3694522785.00,Mexico,1993,36,Basic Industries,Aluminum
SKY,Skyline Champion Corporation Common Stock,$61.87,0.86,1.41%,3511581390.00,United States,,77560,Basic Industries,Homebuilding
SLGL,Sol-Gel Technologies Ltd. Ordinary Shares,$9.2405,-0.3595,-3.745%,212808262.00,Israel,2018,9064,Basic Industries,Precious Metals
SMG,Scotts Miracle-Gro Company (The) Common Stock,$148.27,1.30,0.885%,8273652524.00,United States,1992,126894,Basic Industries,Agricultural Chemicals
SNES,SenesTech Inc. Common Stock,$1.4801,0.0001,0.007%,18044065.00,United States,2016,81303,Basic Industries,Multi-Sector Companies
SON,Sonoco Products Company Common Stock,$60.99,0.20,0.329%,5996835224.00,United States,,159163,Basic Industries,Containers/Packaging
SQM,Sociedad Quimica y Minera S.A. Common Stock,$53.13,1.55,3.005%,15175971167.00,Chile,1993,604033,Basic Industries,Agricultural Chemicals
STLD,Steel Dynamics Inc.,$61.28,2.19,3.706%,12508098750.00,United States,1996,1221660,Basic Industries,Steel/Iron Ore
SUZ,Suzano S.A. American Depositary Shares (each representing One Ordinary Share),$9.14,0.19,2.123%,12331885241.00,,2018,557334,Basic Industries,Paper
SWIR,Sierra Wireless Inc. Common Stock,$15.66,0.18,1.163%,582428020.00,Canada,,47103,Basic Industries,Metal Fabrications
SWM,Schweitzer-Mauduit International Inc. Common Stock,$36.36,0.63,1.763%,1143795318.00,United States,,38660,Basic Industries,Paper
SXT,Sensient Technologies Corporation Common Stock,$89.55,0.39,0.437%,3775081710.00,United States,,52039,Basic Industries,Major Chemicals
SYNL,Synalloy Corporation Common Stock,$10.75,0.10,0.939%,99640181.00,United States,,10559,Basic Industries,Steel/Iron Ore
SYTA,Siyata Mobile Inc. Common Shares,$3.2323,-0.0277,-0.85%,15567374.00,Canada,2020,24327,Basic Industries,Metal Fabrications
SYTAW,Siyata Mobile Inc. Warrant,$0.6998,0.0498,7.662%,0.00,Canada,2020,6061,Basic Industries,Metal Fabrications
TANH,Tantech Holdings Ltd. Common Stock,$0.6386,0.0195,3.15%,18448409.00,China,2015,247512,Basic Industries,Pollution Control Equipment
TG,Tredegar Corporation Common Stock,$12.55,-0.02,-0.159%,423277828.00,United States,,42108,Basic Industries,Specialty Chemicals
TMST,TimkenSteel Corporation Common Shares,$14.14,0.34,2.464%,652944901.00,United States,2014,302835,Basic Industries,Steel/Iron Ore
TROX,Tronox Holdings plc Ordinary Shares (UK),$24.92,0.23,0.932%,3828797391.00,United States,,1496175,Basic Industries,Multi-Sector Companies
TS,Tenaris S.A. American Depositary Shares,$22.33,0.13,0.586%,13180695605.00,Luxembourg,,1585893,Basic Industries,Steel/Iron Ore
TSE,Trinseo PLC Ordinary Shares ,$55.633,-0.927,-1.639%,2160108555.00,,2014,88450,Basic Industries,Major Chemicals
TX,Ternium S.A. Ternium S.A. American Depositary Shares (each representing ten shares USD1.00 par value),$42.77,0.64,1.519%,8396079345.00,Luxembourg,,281438,Basic Industries,Steel/Iron Ore
UAN,CVR Partners LP Common Units representing Limited Partner Interests,$85.41,4.34,5.353%,912292566.00,United States,2011,84565,Basic Industries,Agricultural Chemicals
UEC,Uranium Energy Corp. Common Stock,$2.92,0.02,0.69%,681085322.00,Canada,,3202541,Basic Industries,Other Metals and Minerals
